target,label,layer,depth_heads,depth_decoder,r2,sigma_nmad,n_train,n_test
z_true,z (redshift),x,0.0,0.0,0.2627061894700472,0.20180768424954154,50000,17278
z_true,z (redshift),h0,0.14285714285714285,0.125,0.35524636586235625,0.17442149347077557,50000,17278
z_true,z (redshift),h1_mid,0.2857142857142857,0.25,0.49764231650894475,0.1031537806919008,50000,17278
z_true,z (redshift),h1,0.42857142857142855,0.375,0.499820408630974,0.10431166192727312,50000,17278
z_true,z (redshift),h2_mid,0.5714285714285714,0.5,0.5356475704646961,0.08714330563571829,50000,17278
z_true,z (redshift),h2,0.7142857142857143,0.625,0.5571962296008617,0.07713244647294329,50000,17278
z_true,z (redshift),z_head_hidden,0.8571428571428571,0.75,0.5606481345721448,0.06636487257935193,50000,17278
z_true,z (redshift),z_out,1.0,,0.49614232770198774,0.11367044423082683,50000,17278
z_true,z (redshift),mu_15,1.0,0.75,0.5353049180154714,0.0846737865818632,50000,17278
z_true,z (redshift),log_spec,,0.875,0.5601855490597669,0.06244140501394501,50000,17278
z_true,z (redshift),m_ab_recon,,1.0,0.35359292361290284,0.18267292300638946,50000,17278
log_sigma_z,log σ_z (model uncertainty),x,0.0,0.0,0.4145651279901431,,50000,17278
log_sigma_z,log σ_z (model uncertainty),h0,0.14285714285714285,0.125,0.46758619516735445,,50000,17278
log_sigma_z,log σ_z (model uncertainty),h1_mid,0.2857142857142857,0.25,0.6308046767975173,,50000,17278
log_sigma_z,log σ_z (model uncertainty),h1,0.42857142857142855,0.375,0.6842099476472332,,50000,17278
log_sigma_z,log σ_z (model uncertainty),h2_mid,0.5714285714285714,0.5,0.7598300302571982,,50000,17278
log_sigma_z,log σ_z (model uncertainty),h2,0.7142857142857143,0.625,0.9005397236743423,,50000,17278
log_sigma_z,log σ_z (model uncertainty),z_head_hidden,0.8571428571428571,0.75,0.9981487372268159,,50000,17278
log_sigma_z,log σ_z (model uncertainty),z_out,1.0,,0.9999999999999981,,50000,17278
log_sigma_z,log σ_z (model uncertainty),mu_15,1.0,0.75,0.8246558617349489,,50000,17278
log_sigma_z,log σ_z (model uncertainty),log_spec,,0.875,0.917370086433067,,50000,17278
log_sigma_z,log σ_z (model uncertainty),m_ab_recon,,1.0,0.4709789194845715,,50000,17278
