target,label,layer,depth_heads,depth_decoder,r2,sigma_nmad,n_train,n_test
z_true,z (redshift),x,0.0,0.0,0.2627061894700472,0.20180768424954154,50000,17278
z_true,z (redshift),h0,0.14285714285714285,0.125,0.3713813596281127,0.1718276745662069,50000,17278
z_true,z (redshift),h1_mid,0.2857142857142857,0.25,0.49788713767830084,0.10533758539697739,50000,17278
z_true,z (redshift),h1,0.42857142857142855,0.375,0.5192509439423402,0.09474550730537523,50000,17278
z_true,z (redshift),h2_mid,0.5714285714285714,0.5,0.5388121196444478,0.07719011533508825,50000,17278
z_true,z (redshift),h2,0.7142857142857143,0.625,0.5512940590676625,0.07395887776945392,50000,17278
z_true,z (redshift),z_head_hidden,0.8571428571428571,0.75,0.54877002753834,0.0791265308609098,50000,17278
z_true,z (redshift),z_out,1.0,,0.4806422837614436,0.11767106857830625,50000,17278
z_true,z (redshift),mu_15,1.0,0.75,0.5113538176667425,0.07723576934735038,50000,17278
z_true,z (redshift),log_spec,,0.875,0.5428351880824398,0.06119553254926638,50000,17278
z_true,z (redshift),m_ab_recon,,1.0,0.3679034251639466,0.17309537017924462,50000,17278
log_sigma_z,log σ_z (model uncertainty),x,0.0,0.0,0.41376296268937107,,50000,17278
log_sigma_z,log σ_z (model uncertainty),h0,0.14285714285714285,0.125,0.4874450676041674,,50000,17278
log_sigma_z,log σ_z (model uncertainty),h1_mid,0.2857142857142857,0.25,0.7289120007041865,,50000,17278
log_sigma_z,log σ_z (model uncertainty),h1,0.42857142857142855,0.375,0.8092511139848115,,50000,17278
log_sigma_z,log σ_z (model uncertainty),h2_mid,0.5714285714285714,0.5,0.8963788852708507,,50000,17278
log_sigma_z,log σ_z (model uncertainty),h2,0.7142857142857143,0.625,0.951228755420243,,50000,17278
log_sigma_z,log σ_z (model uncertainty),z_head_hidden,0.8571428571428571,0.75,0.9979939032616798,,50000,17278
log_sigma_z,log σ_z (model uncertainty),z_out,1.0,,0.9999999999999973,,50000,17278
log_sigma_z,log σ_z (model uncertainty),mu_15,1.0,0.75,0.7127955566447763,,50000,17278
log_sigma_z,log σ_z (model uncertainty),log_spec,,0.875,0.8321418403784896,,50000,17278
log_sigma_z,log σ_z (model uncertainty),m_ab_recon,,1.0,0.5297003104771938,,50000,17278
i_ref,i magnitude,x,0.0,0.0,0.9998594685781628,,49945,17278
i_ref,i magnitude,h0,0.14285714285714285,0.125,0.9963457372601654,,49945,17278
i_ref,i magnitude,h1_mid,0.2857142857142857,0.25,0.9955438937024711,,49945,17278
i_ref,i magnitude,h1,0.42857142857142855,0.375,0.986867442730112,,49945,17278
i_ref,i magnitude,h2_mid,0.5714285714285714,0.5,0.976985414826865,,49945,17278
i_ref,i magnitude,h2,0.7142857142857143,0.625,0.974389692777491,,49945,17278
i_ref,i magnitude,z_head_hidden,0.8571428571428571,0.75,0.6614635707792411,,49945,17278
i_ref,i magnitude,z_out,1.0,,0.36801407930083363,,49945,17278
i_ref,i magnitude,mu_15,1.0,0.75,0.766403676704006,,49945,17278
i_ref,i magnitude,log_spec,,0.875,0.8358321011314475,,49945,17278
i_ref,i magnitude,m_ab_recon,,1.0,0.45555136199091306,,49945,17278
g_minus_r,g−r color,x,0.0,0.0,0.9921799837471595,,45925,17278
g_minus_r,g−r color,h0,0.14285714285714285,0.125,0.99032593010794,,45925,17278
g_minus_r,g−r color,h1_mid,0.2857142857142857,0.25,0.9916685957936738,,45925,17278
g_minus_r,g−r color,h1,0.42857142857142855,0.375,0.9770800539290196,,45925,17278
g_minus_r,g−r color,h2_mid,0.5714285714285714,0.5,0.9264628270019041,,45925,17278
g_minus_r,g−r color,h2,0.7142857142857143,0.625,0.9744900492940873,,45925,17278
g_minus_r,g−r color,z_head_hidden,0.8571428571428571,0.75,0.4683413336585158,,45925,17278
g_minus_r,g−r color,z_out,1.0,,-0.015103794842320717,,45925,17278
g_minus_r,g−r color,mu_15,1.0,0.75,0.6067933487817485,,45925,17278
g_minus_r,g−r color,log_spec,,0.875,0.6048812630415743,,45925,17278
g_minus_r,g−r color,m_ab_recon,,1.0,0.2866470323516419,,45925,17278
sps:logmass,logmass,x,0.0,0.0,0.29012219592455235,,50000,17278
sps:logmass,logmass,h0,0.14285714285714285,0.125,0.5537440341364072,,50000,17278
sps:logmass,logmass,h1_mid,0.2857142857142857,0.25,0.8018408063998224,,50000,17278
sps:logmass,logmass,h1,0.42857142857142855,0.375,0.8286992849052975,,50000,17278
sps:logmass,logmass,h2_mid,0.5714285714285714,0.5,0.9145868962911893,,50000,17278
sps:logmass,logmass,h2,0.7142857142857143,0.625,0.9572401959241447,,50000,17278
sps:logmass,logmass,z_head_hidden,0.8571428571428571,0.75,0.9484902712732206,,50000,17278
sps:logmass,logmass,z_out,1.0,,0.9356234132270549,,50000,17278
sps:logmass,logmass,mu_15,1.0,0.75,0.9992137143873172,,50000,17278
sps:logmass,logmass,log_spec,,0.875,0.9745677374984536,,50000,17278
sps:logmass,logmass,m_ab_recon,,1.0,0.6566854986468513,,50000,17278
sps:logzsol,logzsol,x,0.0,0.0,0.520562129574605,,50000,17278
sps:logzsol,logzsol,h0,0.14285714285714285,0.125,0.7216789161539909,,50000,17278
sps:logzsol,logzsol,h1_mid,0.2857142857142857,0.25,0.830011147834878,,50000,17278
sps:logzsol,logzsol,h1,0.42857142857142855,0.375,0.8777778059587039,,50000,17278
sps:logzsol,logzsol,h2_mid,0.5714285714285714,0.5,0.9198984076104177,,50000,17278
sps:logzsol,logzsol,h2,0.7142857142857143,0.625,0.9683701005964387,,50000,17278
sps:logzsol,logzsol,z_head_hidden,0.8571428571428571,0.75,0.7097527970942421,,50000,17278
sps:logzsol,logzsol,z_out,1.0,,0.16180826102559098,,50000,17278
sps:logzsol,logzsol,mu_15,1.0,0.75,0.9986350073928937,,50000,17278
sps:logzsol,logzsol,log_spec,,0.875,0.9973865955763608,,50000,17278
sps:logzsol,logzsol,m_ab_recon,,1.0,0.6281825287389395,,50000,17278
sps:dust2,dust2,x,0.0,0.0,0.35075666956852336,,50000,17278
sps:dust2,dust2,h0,0.14285714285714285,0.125,0.5858454055531397,,50000,17278
sps:dust2,dust2,h1_mid,0.2857142857142857,0.25,0.8067678290839981,,50000,17278
sps:dust2,dust2,h1,0.42857142857142855,0.375,0.8453412205428037,,50000,17278
sps:dust2,dust2,h2_mid,0.5714285714285714,0.5,0.9224953000123807,,50000,17278
