target,label,layer,depth_heads,depth_decoder,r2,sigma_nmad,n_train,n_test
z_true,z (redshift),x,0.0,0.0,0.391096193849935,0.17408760236555845,6101,2905
z_true,z (redshift),h0,0.14285714285714285,0.125,0.5952002340150886,0.08303143242657901,6101,2905
z_true,z (redshift),h1_mid,0.2857142857142857,0.25,0.5893566846074476,0.10418580721823882,6101,2905
z_true,z (redshift),h1,0.42857142857142855,0.375,0.5550256055403741,0.11667311941805876,6101,2905
z_true,z (redshift),h2_mid,0.5714285714285714,0.5,0.5615529841357474,0.075305706642799,6101,2905
z_true,z (redshift),h2,0.7142857142857143,0.625,0.5663355101763701,0.06930499631358548,6101,2905
z_true,z (redshift),z_head_hidden,0.8571428571428571,0.75,0.5512264363713077,0.053805993321004095,6101,2905
z_true,z (redshift),z_out,1.0,,0.5513376720979074,0.03970446703806749,6101,2905
z_true,z (redshift),mu_15,1.0,0.75,0.5321857255677359,0.08993110747858159,6101,2905
z_true,z (redshift),log_spec,,0.875,0.4195197837045954,0.05066288346260456,6101,2905
z_true,z (redshift),m_ab_recon,,1.0,0.17482221119520003,0.28969146026536857,6101,2905
log_sigma_z,log σ_z (model uncertainty),x,0.0,0.0,0.539367275455628,,6101,2905
log_sigma_z,log σ_z (model uncertainty),h0,0.14285714285714285,0.125,0.6937335349490865,,6101,2905
log_sigma_z,log σ_z (model uncertainty),h1_mid,0.2857142857142857,0.25,0.7414342131990391,,6101,2905
log_sigma_z,log σ_z (model uncertainty),h1,0.42857142857142855,0.375,0.7903721839251073,,6101,2905
log_sigma_z,log σ_z (model uncertainty),h2_mid,0.5714285714285714,0.5,0.8147914392944271,,6101,2905
log_sigma_z,log σ_z (model uncertainty),h2,0.7142857142857143,0.625,0.8972081507026559,,6101,2905
log_sigma_z,log σ_z (model uncertainty),z_head_hidden,0.8571428571428571,0.75,0.9664418697876735,,6101,2905
log_sigma_z,log σ_z (model uncertainty),z_out,1.0,,0.9999999999999662,,6101,2905
log_sigma_z,log σ_z (model uncertainty),mu_15,1.0,0.75,0.6724231653748687,,6101,2905
log_sigma_z,log σ_z (model uncertainty),log_spec,,0.875,0.7910345032373054,,6101,2905
log_sigma_z,log σ_z (model uncertainty),m_ab_recon,,1.0,0.4744320458654405,,6101,2905
i_ref,i magnitude,x,0.0,0.0,0.9999999999998818,,6101,2905
i_ref,i magnitude,h0,0.14285714285714285,0.125,0.9980902072641177,,6101,2905
i_ref,i magnitude,h1_mid,0.2857142857142857,0.25,0.9801158027652466,,6101,2905
i_ref,i magnitude,h1,0.42857142857142855,0.375,0.989800275911254,,6101,2905
i_ref,i magnitude,h2_mid,0.5714285714285714,0.5,0.9088423508398094,,6101,2905
i_ref,i magnitude,h2,0.7142857142857143,0.625,0.9850595218990581,,6101,2905
i_ref,i magnitude,z_head_hidden,0.8571428571428571,0.75,0.7231619395308215,,6101,2905
i_ref,i magnitude,z_out,1.0,,0.5514420168145604,,6101,2905
i_ref,i magnitude,mu_15,1.0,0.75,0.7334936426805687,,6101,2905
i_ref,i magnitude,log_spec,,0.875,0.6412434093683332,,6101,2905
i_ref,i magnitude,m_ab_recon,,1.0,0.8168676612105301,,6101,2905
g_minus_r,g−r color,x,0.0,0.0,0.999997383385339,,6101,2905
g_minus_r,g−r color,h0,0.14285714285714285,0.125,0.9992243825903055,,6101,2905
g_minus_r,g−r color,h1_mid,0.2857142857142857,0.25,0.9719714622728296,,6101,2905
g_minus_r,g−r color,h1,0.42857142857142855,0.375,0.9920839349138929,,6101,2905
g_minus_r,g−r color,h2_mid,0.5714285714285714,0.5,0.9193503371716694,,6101,2905
g_minus_r,g−r color,h2,0.7142857142857143,0.625,0.9862603047618584,,6101,2905
g_minus_r,g−r color,z_head_hidden,0.8571428571428571,0.75,0.5811031982918246,,6101,2905
g_minus_r,g−r color,z_out,1.0,,0.1316660188056229,,6101,2905
g_minus_r,g−r color,mu_15,1.0,0.75,0.8440025732353383,,6101,2905
g_minus_r,g−r color,log_spec,,0.875,0.13324893959570316,,6101,2905
g_minus_r,g−r color,m_ab_recon,,1.0,0.6737939885030877,,6101,2905
sps:logmass,logmass,x,0.0,0.0,0.22978729127743613,,6101,2905
sps:logmass,logmass,h0,0.14285714285714285,0.125,0.6702217637984591,,6101,2905
sps:logmass,logmass,h1_mid,0.2857142857142857,0.25,0.7309279821498601,,6101,2905
sps:logmass,logmass,h1,0.42857142857142855,0.375,0.777109213352702,,6101,2905
